iter	Logloss
0	0.6629449104
1	0.6194266286
2	0.5806578154
3	0.5468543199
4	0.5167699477
5	0.491974954
6	0.4668778722
7	0.4399372415
8	0.4146710564
9	0.3902284151
10	0.3678272202
11	0.3464311308
12	0.3256077306
13	0.3088781379
14	0.2932022274
15	0.278399353
16	0.2634867949
17	0.2509035716
18	0.2380598001
19	0.2222535616
20	0.2102810489
21	0.2019899256
22	0.1940586404
23	0.184288366
24	0.174448314
25	0.1639321002
26	0.1545949061
27	0.1467824958
28	0.1414490644
29	0.1341979891
30	0.1257123072
31	0.1210427856
32	0.1166242173
33	0.1128979582
34	0.1082696802
35	0.1026801165
36	0.09712414012
37	0.09301339542
38	0.08792713838
39	0.08423195334
40	0.08038777071
41	0.0771566952
42	0.07530081356
43	0.0722425932
44	0.0692734752
45	0.06664318309
46	0.06403032191
47	0.06146518932
48	0.05924891752
49	0.05707502029
50	0.05492873697
51	0.05308566374
52	0.05088015388
53	0.04895939098
54	0.04781400344
55	0.04593145034
56	0.04444694968
57	0.04315378526
58	0.04204464183
59	0.04070490669
60	0.03961973303
61	0.03836595423
62	0.03734284345
63	0.0358091848
64	0.03478546143
65	0.03407804377
66	0.03317163131
67	0.03223503562
68	0.03133934694
69	0.03045871959
70	0.02988768634
71	0.02905605316
72	0.02840757931
73	0.02788870419
74	0.02734010135
75	0.02650349785
76	0.02556656781
77	0.02480125203
78	0.024235041
79	0.02363931095
80	0.023266808
81	0.02277564329
82	0.02230844161
83	0.02190617954
84	0.02157189313
85	0.02102251838
86	0.02053518856
87	0.02034530191
88	0.0201526597
89	0.01987560048
90	0.01966291989
91	0.01927386116
92	0.01897518831
93	0.01867917678
94	0.0186377357
95	0.01835853801
96	0.01810499079
97	0.01782460942
98	0.01744823568
99	0.01697998271
100	0.01657724268
101	0.01652824626
102	0.01624963199
103	0.01600806966
104	0.01564435959
105	0.01555232441
106	0.01545434727
107	0.0151944598
108	0.01506189795
109	0.0147838974
110	0.01448793523
111	0.0143774975
112	0.01425376555
113	0.01419951719
114	0.01416783052
115	0.01393183764
